timestamp,production_kw,consumption_kw,consumption_reconstructed,feed_in_kw,grid_consumption_kw,error
2023-01-01 00:00:00,0.0,5.6,5.6,0.0,5.6,0.0
2023-01-01 00:15:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 00:30:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 00:45:00,0.0,5.0,5.0,0.0,5.0,0.0
2023-01-01 01:00:00,0.0,5.6,5.6,0.0,5.6,0.0
2023-01-01 01:15:00,0.0,5.6,5.6,0.0,5.6,0.0
2023-01-01 01:30:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 01:45:00,0.0,5.0,5.0,0.0,5.0,0.0
2023-01-01 02:00:00,0.0,5.2,5.2,0.0,5.2,0.0
2023-01-01 02:15:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 02:30:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 02:45:00,0.0,5.0,5.0,0.0,5.0,0.0
2023-01-01 03:00:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 03:15:00,0.0,5.2,5.2,0.0,5.2,0.0
2023-01-01 03:30:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 03:45:00,0.0,5.0,5.0,0.0,5.0,0.0
2023-01-01 04:00:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 04:15:00,0.0,5.4,5.4,0.0,5.4,0.0
2023-01-01 04:30:00,0.0,5.6,5.6,0.0,5.6,0.0
2023-01-01 04:45:00,0.0,5.0,5.0,0.0,5.0,0.0
2023-01-01 05:00:00,0.0,5.6,5.6,0.0,5.6,0.0
2023-01-01 05:15:00,0.0,6.0,6.0,0.0,6.0,0.0
2023-01-01 05:30:00,0.0,5.6,5.6,0.0,5.6,0.0
2023-01-01 05:45:00,0.0,6.0,6.0,0.0,6.0,0.0
2023-01-01 06:00:00,0.0,6.0,6.0,0.0,6.0,0.0
2023-01-01 06:15:00,0.0,5.8,5.8,0.0,5.8,0.0
